,pcs,shop,part number,mouser link,Value,Description,Remark
T2,1,Mouser,512-BS170D27Z,http://www.mouser.de/ProductDetail/Fairchild-Semiconductor/BS170_D27Z/?qs=sGAEpiMZZMshyDBzk1%2fWi6u8DDnmpUwtixQcENp3p68%3d,BS170,"n-mosfet, TO-92",mount only with native I2C display
"R3, R4",2,Mouser,660-MF1/4LCT52R222J,http://www.mouser.de/ProductDetail/KOA-Speer/MF1-4LCT52R222J/?qs=sGAEpiMZZMtlubZbdhIBIBiU%2fdU%2f2aMBiz8d3Ah9daE%3d,2k2,"resistor 1/4W, 5%",mount only with native I2C display
,,,,,,,
DISP1,1,,buy somewhere else those are too expensive here,http://www.mouser.de/ProductDetail/mikroElektronika/MIKROE-55/?qs=sGAEpiMZZMuCISx1W3tuznzw%252bFuT6CWS,Display,alphanumeric LCD 2x16 with additional expander*,only one display ... or none
or DISP2 ,1,,e.g. aliexpress.com,http://www.mouser.de/ProductDetail/Newhaven-Display/NHD-0216CW-AB3/?qs=sGAEpiMZZMshRHSPqbouvOr0%2fnlF2uMHnmlhq7UytQ%2f4fxaTmON4NQ%3d%3d,Display,alphanumeric LCD 2x16 with native I2C**,only one display ... or none
,,,,,,,
"R15, R16",2,,,,10M,"resistor 0.6W, 1%, metalized",will be delivered
L3,1,,,,10mH,"inductor, vertical",will be delivered
R22,1,,279-LR1F1K0,http://www.mouser.de/ProductDetail/TE-Connectivity-Neohm/LR1F1K0/?qs=sGAEpiMZZMu61qfTUdNhG0k3J%252b4UeQ2n0t8q6nOWP2U%3d,1k,"resistor 0.6W, 1%, metalized",will be delivered
R17,1,,279-LR1F33K,http://www.mouser.de/ProductDetail/TE-Connectivity/CFR16J33K/?qs=%2fha2pyFaduj6rHsrYtyzKJS6htRk52LfyEn2kzF4dNc%3d,33k,"resistor 0.6W, 1%, metalized",will be delivered
R8,1,,279-LR1F470K,http://www.mouser.de/ProductDetail/TE-Connectivity/LR1F470K/?qs=ip69W3eHERXAbrHhfTLqcA%3d%3d,470k,"resistor 0.6W, 1%, metalized",will be delivered
"R12, R18",2,,,,5M1,"resistor 0.6W, 1%, metalized",will be delivered
Enclosure,1,,,,KM-33B,machined at CNC,will be delivered
Distance,2,,,,M2.5x10,,will be delivered
Screw,4,,,,M2.5x4,,will be delivered
T3,1,,,,MPSA44,"high voltage NPN, darlington transistor, TO-92",will be delivered
GMTUBE,1,,,,SBM-20 / STS-5 / BOB-33A,"Geiger-Muller Tube, as specified",will be delivered
D2,1,,,,UF4007,"ultra fast rectifier diode, 1kV",will be delivered
Tube Holder,1,,,,,,will be delivered
IC1,1,,,,ATmega88P,avr microcontroller,will be delivered programmed
"C10, C13",2,,,,220n/630V,polypropylene or poliester capacitor,"will be delivered, raster 15.24"
C11,1,,,,4n7,"MKT, MKP or monolithyc capacitor","will be delivered, raster 5.08"
